SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,MnO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Total_Liq,P_kbar
58.84476534,1.353790614,18.17087846,6.377858002,2.707581227,0.2707581227,7.109907742,4.923786602,0.2406738869,100,2.05
53.68294636,1.240992794,17.83426741,9.347477982,4.243394716,0.2101681345,9.737790232,3.472778223,0.2301841473,100,2.02
59.0950045,1.191310441,17.97977776,5.746320953,3.704074482,0.2302532786,7.728501351,4.054459906,0.2702973271,100,2.04
51.47265077,1.462632739,15.99879784,10.99979964,6.171107994,0.1903426167,10.51893408,3.065517932,0.1202163895,100,2.02
51.43229167,1.342147436,16.30608974,10.69711538,6.209935897,0.1602564103,10.55689103,3.165064103,0.1302083333,100,2.04
52.93469551,1.702724359,15.37459936,10.74719551,5.919471154,0.3305288462,9.14463141,3.665865385,0.1802884615,100,2.01
53.59110488,1.492537313,18.97225283,8.905138736,3.806471001,0.2404086948,8.764900331,4.056896724,0.1702894921,100,2.07
60.69138277,1.122244489,17.99599198,5.951903808,2.304609218,0.3907815631,6.853707415,4.328657315,0.3607214429,100,2.04
62.34456478,1.23345367,17.99037304,5.334937826,1.935419174,0.2507019655,5.685920578,4.903730445,0.3208985158,100,2.04
53.10779702,1.581423281,18.06625963,9.668701832,3.953558202,0.1401261135,9.798818937,3.493143829,0.190171154,100,2.08
51.34214744,1.191907051,17.54807692,9.21474359,5.639022436,0.1903044872,12.05929487,2.704326923,0.1101762821,100,2.04
56.23560052,1.9032355,17.25934088,9.315836923,2.914955424,0.1202043474,7.402584393,4.677952519,0.1702894921,100,2.07
54.62740385,1.322115385,18.19911859,8.834134615,4.276842949,0.2303685897,8.804086538,3.465544872,0.2403846154,100,2.02
53.19767442,2.014835605,17.69246191,10.97634322,4.069767442,0.230553328,9.362469928,2.235364876,0.2205292702,100,2
53.82921213,1.80198218,18.58043848,9.410351387,3.233556913,0.1401541696,8.279107018,4.555010512,0.1701872059,100,2.07
53.14377253,2.022426912,14.75770925,11.95434521,5.32639167,0.2803364037,8.860632759,3.434120945,0.2202643172,100,2.01
60.21052632,1.13283208,16.81203008,8.952380952,2.315789474,0.1102756892,5.824561404,4.370927318,0.2706766917,100,2.06
61.48987367,1.17304993,18.02686986,7.509524764,1.844796471,0.1002606778,4.992981753,4.682173651,0.18046922,100,2.06
58.58302435,1.182483215,17.62701674,8.988876641,2.525303137,0.09018939774,6.613889167,4.15873334,0.2304840164,100,2.06
61.22514777,0.4191295003,20.50510478,1.751746373,0.2149382053,0.1504567437,2.536270822,5.394948952,7.802256851,100,2
60.07798115,0.5848586592,20.39423806,2.599371818,0.2599371818,0.1299685909,3.725766273,5.144590057,7.083288205,100,2
62.19387755,0.5306122449,20.7244898,2.153061224,0.2653061224,0.07142857143,0.2142857143,5.479591837,8.367346939,100,2
60.4160416,0.5100510051,20.3920392,2.470247025,0.2200220022,0.0800080008,2.810281028,5.670567057,7.430743074,100,2
62.40724574,0.4146660847,20.84242689,1.396769969,0.14185945,0.08729812309,2.062418158,5.347010039,7.300305543,100,2
60.85309083,0.4763451337,20.36375447,2.425029772,0.1732164123,0.08660820613,2.987983111,5.575403269,7.058568799,100,2
61.56615662,0.3500350035,21.00210021,1.640164016,0.1400140014,0.1300130013,1.890189019,6.440644064,6.840684068,100,2
61.44,0.58,20.16,1.83,0.13,0.16,2.35,6.05,7.3,100,2
61.21475054,0.3687635575,20.81344902,1.995661605,0.1084598698,0.07592190889,2.613882863,5.35791757,7.451193059,100,2
64.24642464,0.400040004,20.2020202,1.380138014,0.0600060006,0.1300130013,1.95019502,5.100510051,6.530653065,100,3
61.14611461,0.4500450045,20.65206521,1.940194019,0.1400140014,0.0800080008,2.220222022,5.99059906,7.380738074,100,2
63.26422351,0.6389249976,16.73983494,4.395522857,3.247868738,0.06389249976,5.579944979,4.121066235,1.948721243,100,2.1
64.10561249,0.5606904883,17.72404932,3.63391812,2.502340883,0.03114947157,5.461540682,4.329776548,1.650921993,100,1.1
64.06190827,0.6813963984,17.75889363,3.710171449,2.278419207,0.09582136853,4.940123889,4.556838414,1.916427371,100,2
64.26692843,0.6487311988,17.79225075,3.63682964,2.275876665,0.06380962611,4.923976148,4.285879887,2.105717662,100,2.1
64.27092029,0.8061709758,18.43585731,3.439810628,1.898744798,0.06364507703,4.561230521,4.529407982,1.994212414,100,1.9
64.7171491,0.926442408,17.50976151,3.588226737,1.986704275,0.04117521813,4.621918236,4.488098777,2.120523734,100,1.1
65.47252757,0.7665588633,16.86429499,3.823114673,1.732633047,0.1155088698,4.431340278,4.452341891,2.341679815,100,1.2
64.51493606,0.6856452853,17.61251327,3.666837414,2.196207555,0.04285283033,4.949501903,4.413841524,1.917664157,100,2.3
63.85023692,0.6826094407,17.86336398,3.416014979,2.541407456,0.05250841852,5.282346903,4.431710523,1.879801383,100,1.7
63.26255617,0.7918520225,18.46941339,3.554563805,2.204344819,0.06420421804,4.644105105,4.965126195,2.043834274,100,1.5
65.41151245,0.6887554734,17.19862932,3.6755213,1.671244899,0.06077254177,4.304721708,4.69974323,2.289099073,100,0.5
68.54142295,0.7682867615,15.8779264,3.175380404,1.08584529,0.03073147046,2.899002047,4.865816156,2.755588518,100,0.6
51.62876116,1.183437818,21.00344858,6.236202763,6.112713599,0.02058152727,6.308238108,7.50196669,0.004649759824,100,15
50.47286184,1.469983553,18.22574013,6.373355263,7.493832237,0.1336348684,10.40296053,3.474506579,1.953125,100,8
51.72836981,1.523829004,19.32910616,5.594191041,6.473716506,0.1636326447,9.756596441,3.262425854,2.168132542,100,8
52.13436693,1.695090439,20.40310078,5.674418605,5.602067183,0.165374677,8.496124031,3.245478036,2.583979328,100,8
50.1398529,1.429607376,17.16564799,6.433233192,7.873200041,0.1450326323,11.65440796,3.294312649,1.864705273,100,8
52.16363449,1.603453592,19.46757118,6.239079042,5.591530476,0.1644567787,8.130331997,3.926405592,2.713536849,100,8
50.68979509,1.399878271,17.97524853,7.039967539,7.252992493,0.1521606817,9.981740718,3.479407588,2.028809089,100,8
53.3773862,1.75162576,20.26431718,6.104468219,5.024124187,0.1468428781,7.426054122,2.97881267,2.926368785,100,8
52.40592227,1.501130989,19.81287271,7.45424635,5.336212215,0.1747892248,7.382274316,3.351840428,2.580711495,100,8
50.24257217,3.087981913,15.2789724,11.33601178,5.833972344,0.00772574027,11.18513318,2.715814712,0.3118157632,100,2
61.78370189,1.315223869,18.0631149,5.30332205,2.428921499,0.0005594169163,6.035180493,4.433577234,0.6363986461,100,2
49.73316799,3.113426978,15.87337361,11.99434983,5.297929841,0.002850240549,10.70814721,2.929683747,0.3470705484,100,2
51.44471341,2.6027948,17.70321969,11.13827572,4.162364153,0.008421640153,9.357416122,3.182364492,0.4004299692,100,2
48.93084592,3.198162592,15.54286185,13.00099972,5.04205438,0.002727280909,11.1050206,2.84396869,0.3333589673,100,2
51.22312636,2.273528523,18.02960992,11.84349742,3.785689355,0.007043173923,9.104688645,3.278110894,0.4547057047,100,2
49.9232443,3.222547519,15.80832757,12.12391656,5.028013881,0.006554833962,10.57037574,2.960125083,0.3568945135,100,2
51.70089535,2.884078132,16.0192831,10.33208341,5.535406098,0.008505194373,10.0082571,3.137067442,0.3744241785,100,2
50.02492009,3.151423388,17.09725712,12.11361083,4.219347592,0.002509052617,9.946352885,3.057194781,0.3873842702,100,2
54.7188045,3.397472198,14.45208718,9.905017134,5.091076164,0.005516149123,8.642512359,3.284565267,0.5029490565,100,2
58.75505637,1.097436398,18.03383465,8.790043455,2.258186434,0.006660526738,6.120318372,4.157595584,0.7808682061,100,2
50.205549,3.464875856,14.95420333,12.32290631,5.332895883,0.000669858661,10.32432574,3.033021764,0.3615522632,100,2
54.72998729,3.255352465,14.9545884,10.50727611,4.427279352,0.005588749638,7.542401249,3.906422958,0.6711034312,100,2
