SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MgO_Cpx,MnO_Cpx,CaO_Cpx,Na2O_Cpx,Cr2O3_Cpx,Total_Cpx,P_kbar
51.2,0.38,3.31,20.2,13.9,0.68,8.39,0.29,0.003537697193,98.3535377,1.515
50.1,0.57,4.17,6.63,14.5,0.21,22.1,0.2,0.0007482768786,98.48074828,4.3
48.7,0.69,6.09,8.18,14,0.26,20.5,0.42,0.001090193836,98.84109019,3.9
49.4,0.76,5.78,9.47,13.54,0.43,19.36,0.44,0.007776994476,99.18777699,4.3
49,0.78,5.92,10,14.5,0.39,19.1,0.39,0.005920376122,100.0859204,4
49.8,0.8,5.72,10.9,14.3,0.22,17.5,0.43,0.002890810373,99.67289081,3.9
49,0.73,5.05,11.2,15.2,0.41,16.8,0.28,0.0004496393488,98.67044964,4
49.4,0.87,4.6,13.5,14.1,0.38,16.8,0.32,0.0003485192451,99.97034852,4.3
50.09,0.4,8.15,5.82,18.31,0.21,16.42,0.68,0.38,100.46,13
49.61,0.41,8.52,5.87,17.27,0.17,15.94,0.82,0.2,98.81,15
52.54,0.11,2.98,2.34,18.49,0.00710343824,19.97,0.28,2.01,98.72710344,10
53.29,0.11,3.47,2.53,18.84,0.07,20.01,0.33,1.92,100.57,10
51.87,0.14,5.08,2.82,17.96,0.06,19.4,0.38,2.08,99.79,10
51.33,0.31,6.32,3.1,17.4,0.08,18.61,0.59,1.52,99.26,10
52.56,0.33,6.67,3.26,18.45,0.09,17.5,0.73,1.13,100.72,10
51.85,0.3,6.84,3.56,19.32,0.13,16.53,0.72,1.08,100.33,10
52.14,0.32,6.92,3.69,18.99,0.1,16.61,0.59,1.13,100.49,10
52.45,0.3,6.51,3.69,18.84,0.1,17.46,0.54,0.96,100.85,10
52.44,0.22,6.19,3.83,20.2,0.1,15.84,0.4,1.33,100.55,10
51.79,0.25,6.44,4.01,20.07,0.1,15.98,0.33,1.01,99.98,10
53.45,0.006374480927,4.46,4.17,22.95,0.14,13.11,0.25,1.73,100.2663745,10
55.01,0.007548798938,2.81,4.67,27.31,0.12,8.66,0.16,1.57,100.3175488,10
52,0.6,2.9,11.8,13.94,0.4,18,0.3,0.009115883484,99.94911588,2
50.9,0.7,3.3,11.9,13.2,0.4,17.6,0.3,0.008067272515,98.30806727,2
49.55,0.31,5.03,5.93,13.79,0.34,22.7,0.88,0.009344955532,98.53934496,9.7
52.53,0.12,3.19,6.57,16.03,0.0007243309194,17.44,0.68,0.006431112971,96.56715544,4
52.11,0.35,5.03,6.78,14.26,0.59,18.14,0.89,0.007734689716,98.15773469,4
50.98,0.96,10.5,5.9,12.23,0.11,17.8,1.82,0.1,100.4,20
50.12,0.61,11.17,6.19,13.06,0.13,17.13,1.57,0.17,100.15,20
48.91,2.24,6.13,6.24,12.51,0.11,22.93,0.55,0.01,99.63,15
49.85,0.69,8.4,6.37,16.09,0.15,17.39,0.66,0.24,99.84,10
49.7,1.12,8.38,6.52,14.66,0.16,17.85,0.98,0.001996865459,99.37199687,12
49.16,0.71,10.35,6.59,14.36,0.14,16.99,1,0.14,99.44,15
51.01,0.95,5.43,6.59,17.68,0.21,17.78,0.72,0.21,100.58,8
47.02,2.9,8.65,6.85,11.62,0.11,22.07,0.86,0.006634924687,100.0866349,20
49.94,0.91,7.96,6.9,16.8,0.17,16.93,0.51,0.16,100.28,8
49.25,1.37,10.78,6.95,12.89,0.07,17.12,1.5,0.07,100,15
48.09,1.44,9.1,7.16,15.5,0.2,17.1,0.86,0.11,99.56,12
48.81,1.66,10.5,7.2,12.41,0.18,18.22,1.72,0.12,100.82,15
48.11,1.39,10.3,7.23,13.66,0.19,17.15,1.34,0.14,99.51,15
50.17,0.88,9.08,7.78,15.44,0.14,15.86,0.63,0.08,100.06,10
52.65,0.71,4.09,8.84,20.72,0.18,12.01,0.003108338805,0.45,99.65310834,10
52.5,0.77,8.15,9.01,15.81,0.17,12.36,1.76,0.19,100.72,30
51.58,0.85,5.17,9.1,19.2,0.17,12.8,0.71,0.27,99.85,12
